,코드,시도,시군구,읍면동,하위,위도,경도,코드종류
370,1168065600,서울특별시,강남구,도곡2동,,37.483818,127.046346,H
371,1168066000,서울특별시,강남구,개포1동,,37.481925,127.057439,H
372,1168067000,서울특별시,강남구,개포2동,,37.489766,127.069056,H
373,1168069000,서울특별시,강남구,개포4동,,37.478833,127.051599,H
374,1168070000,서울특별시,강남구,세곡동,,37.464369,127.104583,H
375,1168072000,서울특별시,강남구,일원본동,,37.48336,127.08648,H
376,1168073000,서울특별시,강남구,일원1동,,37.491887,127.087982,H
377,1168074000,서울특별시,강남구,일원2동,,37.492172,127.073696,H
378,1168075000,서울특별시,강남구,수서동,,37.485881,127.096706,H
379,1171051000,서울특별시,송파구,풍납1동,,37.538055,127.122215,H
380,1171052000,서울특별시,송파구,풍납2동,,37.528779,127.116814,H
381,1171053100,서울특별시,송파구,거여1동,,37.496923,127.143302,H
382,1171053200,서울특별시,송파구,거여2동,,37.493534,127.146891,H
383,1171054000,서울특별시,송파구,마천1동,,37.496025,127.149894,H
384,1171055000,서울특별시,송파구,마천2동,,37.49688,127.148538,H
385,1171056100,서울특별시,송파구,방이1동,,37.511009,127.123923,H
386,1171056200,서울특별시,송파구,방이2동,,37.514596,127.114379,H
387,1171056600,서울특별시,송파구,오륜동,,37.515538,127.134424,H
388,1171057000,서울특별시,송파구,오금동,,37.50401,127.134003,H
389,1171058000,서울특별시,송파구,송파1동,,37.50609,127.109571,H
390,1171059000,서울특별시,송파구,송파2동,,37.502323,127.116741,H
